  cell  ,E,W,N,S
"(1, 1)",0,0,0,1
"(2, 1)",1,0,1,1
"(3, 1)",1,0,1,0
"(4, 1)",1,0,0,1
"(5, 1)",1,0,1,0
"(6, 1)",1,0,0,1
"(7, 1)",0,0,1,1
"(8, 1)",1,0,1,1
"(9, 1)",0,0,1,1
"(10, 1)",1,0,1,1
"(11, 1)",1,0,1,1
"(12, 1)",1,0,1,1
"(13, 1)",1,0,1,1
"(14, 1)",0,0,1,1
"(15, 1)",0,0,1,1
"(16, 1)",0,0,1,1
"(17, 1)",0,0,1,1
"(18, 1)",0,0,1,1
"(19, 1)",0,0,1,1
"(20, 1)",1,0,1,0
"(1, 2)",1,0,0,1
"(2, 2)",0,1,1,0
"(3, 2)",1,1,0,0
"(4, 2)",0,1,0,0
"(5, 2)",1,1,0,0
"(6, 2)",1,1,0,0
"(7, 2)",1,0,0,1
"(8, 2)",0,1,1,1
"(9, 2)",1,0,1,0
"(10, 2)",0,1,0,0
"(11, 2)",1,1,0,0
"(12, 2)",1,1,0,0
"(13, 2)",1,1,0,1
"(14, 2)",1,0,1,0
"(15, 2)",1,0,0,1
"(16, 2)",0,0,1,1
"(17, 2)",1,0,1,0
"(18, 2)",1,0,0,1
"(19, 2)",1,0,1,0
"(20, 2)",1,1,0,0
"(1, 3)",1,1,0,1
"(2, 3)",0,0,1,1
"(3, 3)",1,1,1,0
"(4, 3)",1,0,0,1
"(5, 3)",1,1,1,0
"(6, 3)",1,1,0,1
"(7, 3)",1,1,1,1
"(8, 3)",1,0,1,0
"(9, 3)",0,1,0,1
"(10, 3)",0,0,1,1
"(11, 3)",0,1,1,1
"(12, 3)",0,1,1,1
"(13, 3)",1,1,1,0
"(14, 3)",1,1,0,0
"(15, 3)",0,1,0,1
"(16, 3)",0,0,1,0
"(17, 3)",1,1,0,0
"(18, 3)",1,1,0,0
"(19, 3)",1,1,0,0
"(20, 3)",1,1,0,0
"(1, 4)",0,1,0,1
"(2, 4)",1,0,1,0
"(3, 4)",1,1,0,1
"(4, 4)",1,1,1,0
"(5, 4)",1,1,0,1
"(6, 4)",0,1,1,0
"(7, 4)",1,1,0,0
"(8, 4)",0,1,0,1
"(9, 4)",1,0,1,1
"(10, 4)",1,0,1,1
"(11, 4)",0,0,1,0
