country,continent,year,lifeExp,pop,gdpPercap
Afghanistan,Asia,1948.5950660523135,28.801,8425333,779.4453145
Afghanistan,Asia,1954.1480427717377,30.332,9240934,820.8530296
Afghanistan,Asia,1961.0248252067597,31.997,10267083,853.10071
Afghanistan,Asia,1965.1866255353063,34.02,11537966,836.1971382
Afghanistan,Asia,1973.5360624188347,36.088,13079460,739.9811058
Afghanistan,Asia,1981.6289639684712,38.438,14880372,786.11336
Afghanistan,Asia,1979.8582272401425,39.854,12881816,978.0114388
Afghanistan,Asia,1987.4084200106129,40.822,13867957,852.3959448
Afghanistan,Asia,1991.9147288846673,41.674,16317921,649.3413952
Afghanistan,Asia,2000.7130816036347,41.763,22227415,635.341351
Afghanistan,Asia,2002.870452628747,42.129,25268405,726.7340548
Afghanistan,Asia,2005.288105607124,43.828,31889923,974.5803384
Albania,Europe,1955.8476057085209,55.23,1282697,1601.056136
Albania,Europe,1953.9764296407584,59.28,1476505,1942.284244
Albania,Europe,1964.7874396791128,64.82,1728137,2312.888958
Albania,Europe,1967.698794275221,66.22,1984060,2760.196931
Albania,Europe,1970.267403969696,67.69,2263554,3313.422188
Albania,Europe,1981.3394957907922,68.93,2509048,3533.00391
Albania,Europe,1985.8661882901758,70.42,2780097,3630.880722
Albania,Europe,1982.8886221882328,72.0,3075321,3738.932735
Albania,Europe,1989.7780268396382,71.581,3326498,2497.437901
Albania,Europe,1998.350751959442,72.95,3428038,3193.054604
Albania,Europe,2001.846505424189,75.651,3508512,4604.211737
Albania,Europe,2005.23096856427,76.423,3600523,5937.029526
Algeria,Africa,1948.0822838000202,43.077,9279525,2449.008185
Algeria,Africa,1957.7361595671528,45.685,10270856,3013.976023
Algeria,Africa,1962.2996352472112,48.303,11000948,2550.81688
Algeria,Africa,1970.87328309024,51.407,12760499,3246.991771
Algeria,Africa,1970.1058868433083,54.518,14760787,4182.663766
Algeria,Africa,1973.8056039144756,58.014,17152804,4910.416756
Algeria,Africa,1981.5882307949926,61.368,20033753,5745.160213
Algeria,Africa,1987.385438843859,65.799,23254956,5681.358539
Algeria,Africa,1995.8783881119457,67.744,26298373,5023.216647
Algeria,Africa,2001.670532575279,69.152,29072015,4797.295051
Algeria,Africa,2002.5139240336084,70.994,31287142,5288.040382
Algeria,Africa,2007.7648618607686,72.301,33333216,6223.367465
Angola,Africa,1956.340510185973,30.015,4232095,3520.610273
Angola,Africa,1955.695107771123,31.999,4561361,3827.940465
Angola,Africa,1962.3613906136252,34.0,4826015,4269.276742
Angola,Africa,1963.400001859037,35.985,5247469,5522.776375
Angola,Africa,1970.3708482808559,37.928,5894858,5473.288005
Angola,Africa,1981.7522858523303,39.483,6162675,3008.647355
Angola,Africa,1977.306604637744,39.942,7016384,2756.953672
Angola,Africa,1991.2583770765975,39.906,7874230,2430.208311
Angola,Africa,1993.986922232052,40.647,8735988,2627.845685
Angola,Africa,1997.3002322447974,40.963,9875024,2277.140884
Angola,Africa,2006.4941742661636,41.003,10866106,2773.287312
