country,continent,year,lifeExp,pop,gdpPercap
Afghanistan,Asia,1953.0342519319438,28.801,8425333,779.4453145
Afghanistan,Asia,1958.1073198706722,30.332,9240934,820.8530296
Afghanistan,Asia,1961.6911965130828,31.997,10267083,853.10071
Afghanistan,Asia,1966.998618630235,34.02,11537966,836.1971382
Afghanistan,Asia,1971.9860215621131,36.088,13079460,739.9811058
Afghanistan,Asia,1975.846736817516,38.438,14880372,786.11336
Afghanistan,Asia,1981.084026234277,39.854,12881816,978.0114388
Afghanistan,Asia,1986.5920484234352,40.822,13867957,852.3959448
Afghanistan,Asia,1992.5100436521031,41.674,16317921,649.3413952
Afghanistan,Asia,1996.8325685833545,41.763,22227415,635.341351
Afghanistan,Asia,2001.6756906692247,42.129,25268405,726.7340548
Afghanistan,Asia,2006.5572197008548,43.828,31889923,974.5803384
Albania,Europe,1952.7762938212875,55.23,1282697,1601.056136
Albania,Europe,1958.137252794694,59.28,1476505,1942.284244
Albania,Europe,1961.3838162886182,64.82,1728137,2312.888958
Albania,Europe,1967.8783400485834,66.22,1984060,2760.196931
Albania,Europe,1970.8648203087257,67.69,2263554,3313.422188
Albania,Europe,1978.2797791472963,68.93,2509048,3533.00391
Albania,Europe,1981.112619092333,70.42,2780097,3630.880722
Albania,Europe,1987.628901694044,72.0,3075321,3738.932735
Albania,Europe,1993.1962778416646,71.581,3326498,2497.437901
Albania,Europe,1997.2513022053834,72.95,3428038,3193.054604
Albania,Europe,2003.4170969596503,75.651,3508512,4604.211737
Albania,Europe,2006.6280057802942,76.423,3600523,5937.029526
Algeria,Africa,1951.935467200349,43.077,9279525,2449.008185
Algeria,Africa,1957.6030797607182,45.685,10270856,3013.976023
Algeria,Africa,1963.3155838497878,48.303,11000948,2550.81688
Algeria,Africa,1966.4632662474164,51.407,12760499,3246.991771
Algeria,Africa,1972.490914919579,54.518,14760787,4182.663766
Algeria,Africa,1977.2147423836143,58.014,17152804,4910.416756
Algeria,Africa,1981.3542300096967,61.368,20033753,5745.160213
Algeria,Africa,1987.9218211155332,65.799,23254956,5681.358539
Algeria,Africa,1992.0159122196578,67.744,26298373,5023.216647
Algeria,Africa,1995.9241699972176,69.152,29072015,4797.295051
Algeria,Africa,2002.4493771461343,70.994,31287142,5288.040382
Algeria,Africa,2005.611935681881,72.301,33333216,6223.367465
Angola,Africa,1951.3631676537675,30.015,4232095,3520.610273
Angola,Africa,1955.9152829382676,31.999,4561361,3827.940465
Angola,Africa,1963.3720463693926,34.0,4826015,4269.276742
Angola,Africa,1968.04785779622,35.985,5247469,5522.776375
Angola,Africa,1972.5968476307837,37.928,5894858,5473.288005
Angola,Africa,1977.0796734766748,39.483,6162675,3008.647355
Angola,Africa,1982.650173067959,39.942,7016384,2756.953672
Angola,Africa,1985.8509061809839,39.906,7874230,2430.208311
Angola,Africa,1991.4999195285186,40.647,8735988,2627.845685
Angola,Africa,1997.9101478873483,40.963,9875024,2277.140884
Angola,Africa,2001.4888952080032,41.003,10866106,2773.287312
Angola,Africa,2006.5582315271506,42.731,12420476,4797.231267
Argentina,Americas,1951.822192998942,62.485,17876956,5911.315053
Argentina,Americas,1957.3178636013906,64.399,19610538,6856.856212
Argentina,Americas,1962.3742423830563,65.142,21283783,7133.166023
